Plot Title: 3rd Site,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10998544, SEN S/N: 10998544)"
634,9/30/2016 23:48,27.468
635,10/1/2016 0:03,27.468
636,10/1/2016 0:18,27.37
637,10/1/2016 0:33,27.37
638,10/1/2016 0:48,27.37
639,10/1/2016 1:03,27.272
640,10/1/2016 1:18,27.272
641,10/1/2016 1:33,27.272
642,10/1/2016 1:48,27.173
643,10/1/2016 2:03,27.173
644,10/1/2016 2:18,27.173
645,10/1/2016 2:33,27.173
646,10/1/2016 2:48,27.075
647,10/1/2016 3:03,27.075
648,10/1/2016 3:18,27.075
649,10/1/2016 3:33,27.075
650,10/1/2016 3:48,26.977
651,10/1/2016 4:03,26.977
652,10/1/2016 4:18,26.977
653,10/1/2016 4:33,26.879
654,10/1/2016 4:48,26.879
655,10/1/2016 5:03,26.879
656,10/1/2016 5:18,26.781
657,10/1/2016 5:33,26.781
658,10/1/2016 5:48,26.683
659,10/1/2016 6:03,26.683
660,10/1/2016 6:18,26.683
661,10/1/2016 6:33,26.683
662,10/1/2016 6:48,26.585
663,10/1/2016 7:03,26.585
664,10/1/2016 7:18,26.585
665,10/1/2016 7:33,26.585
666,10/1/2016 7:48,26.585
667,10/1/2016 8:03,26.585
668,10/1/2016 8:18,26.585
669,10/1/2016 8:33,26.585
670,10/1/2016 8:48,26.585
671,10/1/2016 9:03,26.683
672,10/1/2016 9:18,26.879
673,10/1/2016 9:33,27.075
674,10/1/2016 9:48,27.272
675,10/1/2016 10:03,27.37
676,10/1/2016 10:18,27.567
677,10/1/2016 10:33,27.764
678,10/1/2016 10:48,27.961
679,10/1/2016 11:03,28.258
680,10/1/2016 11:18,28.357
681,10/1/2016 11:33,28.555
682,10/1/2016 11:48,28.754
683,10/1/2016 12:03,28.853
684,10/1/2016 12:18,29.053
685,10/1/2016 12:33,29.352
686,10/1/2016 12:48,29.452
687,10/1/2016 13:03,29.352
688,10/1/2016 13:18,29.352
689,10/1/2016 13:33,29.352
690,10/1/2016 13:48,29.352
691,10/1/2016 14:03,29.352
692,10/1/2016 14:18,29.352
693,10/1/2016 14:33,29.352
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
